date,direction,entry_type,entry_price,tp_dist_pts,sl_dist_pts,exit_price,exit_reason,pnl_points,pnl_usd
2026-09-02,BUY,LMT,7673,1,1,7675.5,TP,2.5,12.50
2026-09-02,SELL,STP,7672.75,1,1,7673.75,SL,-1,-5.00
2026-09-02,BUY,LMT,7673,2,2,7675,TP,2,10.00
2026-09-02,SELL,STP,7672.75,2,2,7674.75,SL,-2,-10.00
2026-09-02,BUY,LMT,7673,4,4,7677,TP,4,20.00
2026-09-03,BUY,STP,7716.25,1,1,7720.25,TP,-1,-5.00
2026-09-03,SELL,LMT,7716,1,1,7719.5,SL,1.25,6.25
2026-09-03,BUY,STP,7716.25,2,2,7720,TP,-0.25,-1.25
2026-09-03,SELL,LMT,7716,2,2,7720.25,SL,0.25,1.25
2026-09-03,BUY,STP,7716.25,8,8,7724.25,TP,4.5,22.50
2026-09-03,SELL,LMT,7716,8,8,7724,SL,-4.5,-22.50
2026-09-03,BUY,STP,7747.5,1,1,7748.5,TP,0.75,3.75
2026-09-03,BUY,STP,7747.5,2,2,7749.5,TP,1.75,8.75
2026-09-03,SELL,LMT,7747.25,2,2,7749.25,SL,-2,-10.00
2026-09-03,BUY,STP,7747.5,4,4,7751.5,TP,3.75,18.75
2026-09-09,BUY,STP,7658,4,4,7654,SL,-5,-25.00
2026-09-09,SELL,LMT,7657.75,4,4,7653.75,TP,5.25,26.25
2026-09-09,BUY,STP,7658,8,8,7650,SL,-9.25,-46.25
2026-09-09,SELL,LMT,7657.75,8,8,7649.75,TP,9.5,47.50
2026-09-09,BUY,STP,7658,16,16,7642.25,STAGNATION,-17.75,-88.75
2026-09-09,SELL,LMT,7657.75,16,16,7641.75,TP,17.75,88.75
2026-09-09,BUY,LMT,7632,16,16,7648,TP,16,80.00
2026-09-09,SELL,STP,7631.75,16,16,7648.75,SL,-16.75,-83.75
2026-09-09,BUY,STP,7658,32,32,7648.75,RECONCILED,-10.25,-51.25
2026-09-09,SELL,LMT,7657.75,32,32,7648.75,RECONCILED,10.25,51.25
2026-09-09,BUY,LMT,7632,32,32,7648.75,RECONCILED,16.75,83.75
2026-09-09,SELL,STP,7631.75,32,32,7648.75,RECONCILED,-16.75,-83.75
