date,direction,entry_type,entry_price,tp_dist_pts,sl_dist_pts,exit_price,exit_reason,pnl_points,pnl_usd
2026-09-02,BUY,LMT,7673,1,4,7674,TP,1,5.00
2026-09-02,SELL,STP,7672.75,1,4,7676.75,SL,-4,-20.00
2026-09-02,BUY,LMT,7673,4,1,7677,TP,4,20.00
2026-09-02,SELL,STP,7672.75,4,1,7673.75,SL,-1,-5.00
2026-09-02,BUY,LMT,7673,2,8,7675,TP,2,10.00
2026-09-03,BUY,STP,7716.25,1,4,7719.25,TP,-0.25,-1.25
2026-09-03,SELL,LMT,7716,1,4,7720,SL,-0.5,-2.50
2026-09-03,BUY,STP,7716.25,4,1,7720.25,TP,0.75,3.75
2026-09-03,SELL,LMT,7716,4,1,7719.5,SL,0,0.00
2026-09-03,SELL,LMT,7716,8,2,7719.5,SL,0,0.00
2026-09-03,SELL,LMT,7716,2,8,7724.75,SL,-5.5,-27.50
