date|type|line|remark
2026-09-10|res|7673|?
2026-09-10|res|7691.5|!
2026-09-10|res|7718|!
2026-09-10|res|7727|
2026-09-10|res|7747.25|!
2026-09-10|res|7764.5|!
2026-09-10|res|7781.25|
2026-09-10|res|7820.25|!
2026-09-10|res|7838.25|
2026-09-10|sup|7532|
2026-09-10|sup|7544.75|!
2026-09-10|sup|7563.75|?
2026-09-10|sup|7593.5|!
2026-09-10|sup|7621.25|
2026-09-10|sup|7632|!
2026-09-10|sup|7642.5|?
2026-09-09|res|7718|!
2026-09-09|res|7727|
2026-09-09|res|7747.25|!
2026-09-09|res|7764.5|!
2026-09-09|res|7781.25|
2026-09-09|res|7820.25|!
2026-09-09|res|7838.25|
2026-09-09|sup|7607.75|!
2026-09-09|sup|7621.25|
2026-09-09|sup|7632|!
2026-09-09|sup|7657.75|!
2026-09-09|sup|7669.75|?
2026-09-08|res|7734.25|?
2026-09-08|res|7747.25|!
2026-09-08|res|7764.5|!
2026-09-08|res|7781.25|
2026-09-08|res|7820.25|!
2026-09-08|res|7838.25|
2026-09-08|sup|7621.25|
2026-09-08|sup|7632|!
2026-09-08|sup|7657.75|!
2026-09-08|sup|7669.75|?
2026-09-08|sup|7702.5|!
2026-09-07|res|7747.25|?
2026-09-07|res|7764.5|!
2026-09-07|res|7781.25|
2026-09-07|res|7820.25|!
2026-09-07|res|7838.25|
2026-09-07|sup|7621.25|
2026-09-07|sup|7632|!
2026-09-07|sup|7657.75|!
2026-09-07|sup|7669.75|?
2026-09-07|sup|7694.5|?
2026-09-07|sup|7711.75|!
2026-09-03|res|7690.25|?
2026-09-03|res|7716|!
2026-09-03|res|7747.25|?
2026-09-03|res|7768|!
2026-09-03|res|7781.25|
2026-09-03|res|7820.25|?
2026-09-03|res|7838.25|
2026-09-03|sup|7469|
2026-09-03|sup|7473.75|!
2026-09-03|sup|7532|
2026-09-03|sup|7544.75|!
2026-09-03|sup|7621.25|
2026-09-03|sup|7632|!
2026-09-03|sup|7657.75|?
2026-09-02|res|7654.25|!
2026-09-02|res|7673|!
2026-09-02|res|7716|!
2026-09-02|res|7747.25|?
2026-09-02|res|7768|!
2026-09-02|res|7781.25|
2026-09-02|res|7820.25|?
2026-09-02|res|7838.25|
2026-09-02|sup|7469|
2026-09-02|sup|7473.75|!
2026-09-02|sup|7532|
2026-09-02|sup|7544.75|!
2026-09-02|sup|7625.75|!
2026-09-01|res|7716|!
2026-09-01|res|7718.5|!
2026-09-01|res|7747.25|?
2026-09-01|res|7768|!
2026-09-01|res|7781.25|
2026-09-01|res|7820.25|?
2026-09-01|res|7838.25|
2026-09-01|sup|7532|
2026-09-01|sup|7544.75|!
2026-09-01|sup|7625.75|!
2026-09-01|sup|7653|
2026-09-01|sup|7657.75|!
2026-09-01|sup|7671.25|!
2026-09-01|sup|7677.25|?
2026-08-31|res|7714.25|?
2026-08-31|res|7747.25|?
2026-08-31|res|7768|!
2026-08-31|res|7781.25|
2026-08-31|res|7820.25|?
2026-08-31|res|7838.25|
2026-08-31|sup|7532|
2026-08-31|sup|7544.75|!
2026-08-31|sup|7625.75|!
2026-08-31|sup|7657.75|!
2026-08-31|sup|7671.25|?
2026-08-27|res|7739.25|?
2026-08-27|res|7745.5|!
2026-08-27|res|7759.5|
2026-08-27|res|7797.75|!
2026-08-27|res|7831.75|!
2026-08-27|res|7836.5|
2026-08-27|res|7853.25|!
2026-08-27|res|7882|!
2026-08-27|sup|7417|
2026-08-27|sup|7431.75|!
2026-08-27|sup|7468.5|?
2026-08-27|sup|7517|?
2026-08-27|sup|7544.25|!
2026-08-27|sup|7613.5|!
2026-08-27|sup|7627.75|!
2026-08-27|sup|7657.75|
2026-08-27|sup|7671|!
2026-08-27|sup|7680|?
2026-08-27|sup|7709.75|!
2026-08-26|res|7714|!
2026-08-26|res|7720|
2026-08-26|res|7745.5|?
2026-08-26|res|7759.5|!
2026-08-26|res|7797.75|!
2026-08-26|res|7831.75|!
2026-08-26|res|7836.5|
2026-08-26|res|7853.25|!
2026-08-26|res|7882|!
2026-08-26|sup|7417|
2026-08-26|sup|7431.75|!
2026-08-26|sup|7468.5|?
2026-08-26|sup|7517|?
2026-08-26|sup|7544.25|!
2026-08-26|sup|7613.5|!
2026-08-26|sup|7627.75|!
2026-08-26|sup|7657.75|
2026-08-26|sup|7661.75|!
2026-08-25|res|7708.5|!
2026-08-25|res|7720|!
2026-08-25|res|7745.5|?
2026-08-25|res|7759.5|!
2026-08-25|res|7797.75|!
2026-08-25|res|7831.75|!
2026-08-25|res|7836.5|
2026-08-25|res|7853.25|!
2026-08-25|res|7882|!
2026-08-25|sup|7417|
2026-08-25|sup|7431.75|!
2026-08-25|sup|7468.5|?
2026-08-25|sup|7517|?
2026-08-25|sup|7544.25|!
2026-08-25|sup|7613.5|!
2026-08-25|sup|7627.75|!
2026-08-25|sup|7657.75|!
2026-08-24|res|7714|!
2026-08-24|res|7745.5|?
2026-08-24|res|7759.5|!
2026-08-24|res|7797.75|!
2026-08-24|res|7831.75|!
2026-08-24|res|7836.5|
2026-08-24|res|7853.25|!
2026-08-24|res|7882|!
2026-08-24|sup|7417|
2026-08-24|sup|7431.75|!
2026-08-24|sup|7468.5|?
2026-08-24|sup|7517|?
2026-08-24|sup|7544.25|!
2026-08-24|sup|7613.5|!
2026-08-24|sup|7627.75|!
2026-08-24|sup|7659|!
2026-08-20|res|7762.5|?
2026-08-20|res|7770.75|?
2026-08-20|res|7797.75|!
2026-08-20|res|7831.75|!
2026-08-20|res|7836.5|
2026-08-20|res|7853.25|!
2026-08-20|res|7882|!
2026-08-20|sup|7416.75|
2026-08-20|sup|7431.75|!
2026-08-20|sup|7468.5|?
2026-08-20|sup|7517|?
2026-08-20|sup|7544.25|!
2026-08-20|sup|7627.75|!
2026-08-20|sup|7637|!
2026-08-20|sup|7667.75|?
2026-08-20|sup|7698.25|
2026-08-20|sup|7702|!
2026-08-20|sup|7721.5|?
2026-08-19|res|7739|!
2026-08-19|res|7770.75|?
2026-08-19|res|7797.75|!
2026-08-19|res|7831.75|!
2026-08-19|res|7853.25|!
2026-08-19|res|7882|!
2026-08-19|sup|7416.75|
2026-08-19|sup|7431.75|!
2026-08-19|sup|7468.5|?
2026-08-19|sup|7507|
2026-08-19|sup|7517|?
2026-08-19|sup|7544.25|!
2026-08-19|sup|7627.75|!
2026-08-19|sup|7674.75|?
2026-08-19|sup|7692.5|?
2026-08-18|res|7769.5|?
2026-08-18|res|7797.75|!
2026-08-18|res|7831.75|!
2026-08-18|res|7853.25|!
2026-08-18|res|7882|!
2026-08-18|sup|7416.75|
2026-08-18|sup|7431.75|!
2026-08-18|sup|7468.5|?
2026-08-18|sup|7507|
2026-08-18|sup|7517|?
2026-08-18|sup|7544.25|!
2026-08-18|sup|7627.75|!
2026-08-18|sup|7674.75|?
2026-08-18|sup|7692.5|!
2026-08-18|sup|7726.75|!
2026-08-18|sup|7740.25|!
2026-08-17|res|7824|!
2026-08-17|res|7831.75|!
2026-08-17|res|7845.5|!
2026-08-17|res|7859.25|!
2026-08-17|sup|7416.75|
2026-08-17|sup|7431.75|!
2026-08-17|sup|7468.5|?
2026-08-17|sup|7507|
2026-08-17|sup|7517|?
2026-08-17|sup|7544.25|!
2026-08-17|sup|7627.75|!
2026-08-17|sup|7674.75|?
2026-08-17|sup|7692.5|!
2026-08-17|sup|7726.75|
2026-08-17|sup|7740.25|!
2026-08-17|sup|7753.75|
2026-08-17|sup|7756.5|!
2026-08-17|sup|7760|?
2026-08-17|sup|7797.75|!
2026-08-13|res|7796.25|!
2026-08-13|res|7819.25|!
2026-08-13|res|7836.25|!
2026-08-13|res|7861.75|!
2026-08-13|sup|7416.75|
2026-08-13|sup|7431.75|!
2026-08-13|sup|7468.5|?
2026-08-13|sup|7507|
2026-08-13|sup|7517|?
2026-08-13|sup|7544.25|!
2026-08-13|sup|7627.75|!
2026-08-13|sup|7674.75|?
2026-08-13|sup|7692.5|!
2026-08-13|sup|7726.75|
2026-08-13|sup|7740.25|!
2026-08-13|sup|7753.75|
2026-08-13|sup|7756.5|!
2026-08-13|sup|7760|?
2026-08-12|res|7770.25|?
2026-08-12|res|7796.25|!
2026-08-12|res|7819.25|!
2026-08-12|res|7846.25|!
2026-08-12|res|7861.75|!
2026-08-12|sup|7416.75|
2026-08-12|sup|7431.75|!
2026-08-12|sup|7468.5|?
2026-08-12|sup|7507|
2026-08-12|sup|7517|?
2026-08-12|sup|7544.25|!
2026-08-12|sup|7627.75|!
2026-08-12|sup|7674.75|?
2026-08-12|sup|7692.5|!
2026-08-12|sup|7726.75|
2026-08-12|sup|7740.25|!
2026-08-11|res|7796.25|!
2026-08-11|res|7819.25|!
2026-08-11|res|7835.25|!
2026-08-11|res|7861.75|!
2026-08-11|sup|7416.75|
2026-08-11|sup|7431.75|!
2026-08-11|sup|7468.5|?
2026-08-11|sup|7507|
2026-08-11|sup|7517|?
2026-08-11|sup|7544.25|!
2026-08-11|sup|7627.75|!
2026-08-11|sup|7674.75|?
2026-08-11|sup|7692.5|!
2026-08-11|sup|7726.75|
2026-08-11|sup|7744.5|
2026-08-11|sup|7749.5|!
2026-08-11|sup|7766.75|?
2026-08-10|res|7786.5|!
2026-08-10|res|7800.75|?
2026-08-10|res|7819.25|!
2026-08-10|res|7824.5|
2026-08-10|res|7862|!
2026-08-10|sup|7416.75|
2026-08-10|sup|7426.75|
2026-08-10|sup|7431.75|!
2026-08-10|sup|7468.5|?
2026-08-10|sup|7507|
2026-08-10|sup|7517|?
2026-08-10|sup|7544.25|!
2026-08-10|sup|7627.75|!
2026-08-10|sup|7674.75|?
2026-08-10|sup|7692.5|!
2026-08-10|sup|7702|?
2026-08-10|sup|7744.5|!
2026-08-06|res|7807|?
2026-08-06|res|7819.25|!
2026-08-06|res|7851|!
2026-08-06|res|7881.5|!
2026-08-06|sup|7416.75|
2026-08-06|sup|7431.75|!
2026-08-06|sup|7468.5|?
2026-08-06|sup|7507|
2026-08-06|sup|7517|?
2026-08-06|sup|7544.25|!
2026-08-06|sup|7627.75|!
2026-08-06|sup|7674.75|?
2026-08-06|sup|7692.5|!
2026-08-06|sup|7702|?
2026-08-06|sup|7748.25|!
2026-08-04|res|7674.75|!
2026-08-04|res|7692.5|
2026-08-04|res|7716.5|!
2026-08-04|res|7785.25|!
2026-08-04|sup|7416.75|
2026-08-04|sup|7431.75|!
2026-08-04|sup|7468.5|?
2026-08-04|sup|7507|
2026-08-04|sup|7517|?
2026-08-04|sup|7544.25|!
2026-08-04|sup|7627.75|!
2026-08-03|res|7614.75|!
2026-08-03|res|7627.75|
2026-08-03|res|7674.75|!
2026-08-03|res|7692.5|
2026-08-03|sup|7326.5|
2026-08-03|sup|7354.25|?
