date,pipeline,geva_line_type,geva_line_price,geva_line_strength,direction,entry_type,entry_price,exit_price,exit_reason,pnl_points,pnl_usd
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7675.5,TP,2.5,12.50
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,SELL,STP,7672.75,7673.75,SL,-1,-5.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7675,TP,2,10.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,SELL,STP,7672.75,7674.75,SL,-2,-10.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7677,TP,4,20.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7674,TP,1,5.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,SELL,STP,7672.75,7676.75,SL,-4,-20.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7677,TP,4,20.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,SELL,STP,7672.75,7673.75,SL,-1,-5.00
2026-09-02,automated (GevaExtract),RESISTANCE,7673,1,BUY,LMT,7673,7675,TP,2,10.00
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,BUY,STP,7716.25,7720.25,TP,-1,-5.00
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7719.5,SL,1.25,6.25
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,BUY,STP,7716.25,7720,TP,-0.25,-1.25
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7720.25,SL,0.25,1.25
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,BUY,STP,7716.25,7719.25,TP,-0.25,-1.25
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7720,SL,-0.5,-2.50
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,BUY,STP,7716.25,7720.25,TP,0.75,3.75
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7719.5,SL,0,0.00
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7719.5,SL,0,0.00
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,BUY,STP,7716.25,7724.25,TP,4.5,22.50
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7724,SL,-4.5,-22.50
2026-09-03,automated (GevaExtract),RESISTANCE,7716,1,SELL,LMT,7716,7724.75,SL,-5.5,-27.50
2026-09-03,automated (GevaExtract),RESISTANCE,7747.25,3,BUY,STP,7747.5,7748.5,TP,0.75,3.75
2026-09-03,automated (GevaExtract),RESISTANCE,7747.25,3,BUY,STP,7747.5,7749.5,TP,1.75,8.75
2026-09-03,automated (GevaExtract),RESISTANCE,7747.25,3,SELL,LMT,7747.25,7749.25,SL,-2,-10.00
2026-09-03,automated (GevaExtract),RESISTANCE,7747.25,3,BUY,STP,7747.5,7751.5,TP,3.75,18.75
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,BUY,STP,7658,7654,SL,-5,-25.00
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,SELL,LMT,7657.75,7653.75,TP,5.25,26.25
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,BUY,STP,7658,7650,SL,-9.25,-46.25
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,SELL,LMT,7657.75,7649.75,TP,9.5,47.50
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,BUY,STP,7658,7642.25,STAGNATION,-17.75,-88.75
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,SELL,LMT,7657.75,7641.75,TP,17.75,88.75
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7632,1,BUY,LMT,7632,7648,TP,16,80.00
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7632,1,SELL,STP,7631.75,7648.75,SL,-16.75,-83.75
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,BUY,STP,7658,7648.75,RECONCILED,-10.25,-51.25
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7657.75,1,SELL,LMT,7657.75,7648.75,RECONCILED,10.25,51.25
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7632,1,BUY,LMT,7632,7648.75,RECONCILED,16.75,83.75
2026-09-09,manual-relay (geva_manual->decider.py),SUPPORT,7632,1,SELL,STP,7631.75,7648.75,RECONCILED,-16.75,-83.75
