EntryDate,EntryTime,Direction,EntryOrderType,ExitOrderType,EntryPrice,ExitPrice,MatchedLineType,MatchedLinePrice,MatchedLineStrength,DistToLine,HoldingSeconds,GrossPnL,NetPnL
2026-09-02,13:08:58,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,27,-1.25,-2.47
2026-09-02,13:09:17,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,8,-1.25,-2.47
2026-09-02,13:09:21,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,4,-1.25,-2.47
2026-09-02,13:09:22,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,3,-1.25,-2.47
2026-09-02,13:09:22,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,3,-1.25,-2.47
2026-09-02,13:09:23,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,2,-1.25,-2.47
2026-09-02,13:09:24,LONG,LMT,STP,7673.0,7672.75,res,7673,!,0.00,1,-1.25,-2.47
2026-09-02,13:30:29,SHORT,STP,LMT,7672.75,7670.75,res,7673,!,0.25,266,10.0,8.78
2026-09-03,09:33:30,SHORT,LMT,STP,7716.0,7716.25,res,7716,!,0.00,1,-1.25,-2.47
2026-09-03,09:33:30,SHORT,LMT,STP,7716.0,7716.25,res,7716,!,0.00,1,-1.25,-2.47
2026-09-03,09:33:30,SHORT,LMT,STP,7716.0,7716.25,res,7716,!,0.00,1,-1.25,-2.47
2026-09-03,11:23:39,SHORT,LMT,STP,7747.25,7747.75,res,7747.25,?,0.00,0,-2.5,-3.72
2026-09-03,11:23:39,SHORT,LMT,STP,7747.25,7747.75,res,7747.25,?,0.00,0,-2.5,-3.72
2026-09-03,11:23:39,SHORT,LMT,STP,7747.25,7747.75,res,7747.25,?,0.00,0,-2.5,-3.72
2026-09-09,11:23:24,LONG,LMT,STP,7632.0,7632.0,sup,7632,!,0.00,0,0.0,-1.22
2026-09-09,11:23:24,LONG,LMT,STP,7632.0,7632.0,sup,7632,!,0.00,0,0.0,-1.22
